Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
1,MNQ,Long,-4.04,-1.25,Loss,30-120 sec,1-2 hour,49.8,75.2,113,21376.25,21375.0,2025-02-03 18:34:13,2025-02-03 18:36:06
3,MNQ,Short,-42.12,-6.25,Loss,0-30 sec,1-2 hour,45.3,77.1,30,21371.75,21365.5,2025-02-03 18:37:53,2025-02-03 18:37:23
3,MNQ,Long,47.88,8.75,Win,0-30 sec,1-2 hour,40.5,77.1,17,21339.75,21348.5,2025-02-03 18:38:26,2025-02-03 18:38:44
3,MNQ,Short,55.38,10.0,Win,0-30 sec,1-2 hour,38.5,77.1,16,21360.0,21370.0,2025-02-03 18:39:33,2025-02-03 18:39:17
3,MNQ,Short,-61.62,-9.5,Loss,0-30 sec,1-2 hour,35.1,78.8,7,21432.5,21423.0,2025-02-03 18:50:58,2025-02-03 18:50:50
3,MNQ,Short,-90.16,-14.0,Loss,0-30 sec,1-2 hour,34.6,78.8,4,21418.75,21404.75,2025-02-03 18:52:23,2025-02-03 18:52:19
2,MNQ,Short,91.92,23.75,Win,30-120 sec,1-2 hour,34.2,78.8,86,21394.5,21418.25,2025-02-03 18:55:04,2025-02-03 18:53:37
2,MNQ,Short,25.92,7.25,Win,0-30 sec,1-2 hour,27.9,78.2,8,21421.25,21428.5,2025-02-03 18:59:22,2025-02-03 18:59:14
2,MNQ,Short,-77.08,-18.5,Loss,30-120 sec,1-2 hour,28.0,79.2,31,21456.0,21437.5,2025-02-03 19:01:43,2025-02-03 19:01:11
2,MNQ,Short,72.92,19.0,Win,30-120 sec,1-2 hour,27.8,79.2,57,21425.5,21444.5,2025-02-03 19:03:00,2025-02-03 19:02:03
2,MNQ,Long,23.92,6.75,Win,0-30 sec,1-2 hour,29.0,79.2,4,21382.0,21388.75,2025-02-03 19:03:13,2025-02-03 19:03:18
2,MNQ,Short,-4.08,-0.25,Loss,0-30 sec,1-2 hour,29.0,79.2,24,21396.5,21396.25,2025-02-03 19:03:54,2025-02-03 19:03:29
2,MNQ,Short,-10.08,-1.75,Loss,30-120 sec,1-2 hour,29.0,79.2,34,21410.0,21408.25,2025-02-03 19:05:01,2025-02-03 19:04:26
2,MNQ,Short,52.92,14.0,Win,0-30 sec,1-2 hour,30.9,80.5,6,21341.0,21355.0,2025-02-03 19:05:58,2025-02-03 19:05:52
2,MNQ,Short,-62.08,-14.75,Loss,0-30 sec,1-2 hour,34.1,80.5,10,21395.25,21380.5,2025-02-03 19:06:46,2025-02-03 19:06:36
2,MNQ,Short,39.92,10.75,Win,0-30 sec,1-2 hour,34.1,80.5,21,21398.75,21409.5,2025-02-03 19:07:16,2025-02-03 19:06:55
2,MNQ,Short,45.92,12.25,Win,30-120 sec,2+ hour,20.6,60.4,50,21420.25,21432.5,2025-02-03 19:36:04,2025-02-03 19:35:14
2,MNQ,Short,52.15,14.0,Win,30-120 sec,2+ hour,20.0,60.4,81,21412.0,21426.0,2025-02-03 19:37:31,2025-02-03 19:36:10
2,MNQ,Short,-4.08,-0.25,Loss,2-5 min,30-60 min,18.4,41.6,135,21650.5,21650.25,2025-02-04 18:29:17,2025-02-04 18:27:02
4,MNQ,Long,65.84,9.0,Win,30-120 sec,1-2 hour,18.1,43.1,71,21628.0,21637.0,2025-02-04 18:30:14,2025-02-04 18:31:26
4,MNQ,Short,61.84,8.5,Win,30-120 sec,1-2 hour,18.1,43.1,52,21643.5,21652.0,2025-02-04 18:34:23,2025-02-04 18:33:31
1,MNQ,Short,25.46,13.5,Win,2-5 min,1-2 hour,17.7,41.4,151,21660.75,21674.25,2025-02-04 18:44:00,2025-02-04 18:41:28
4,MNQ,Long,39.84,5.75,Win,30-120 sec,2+ hour,10.5,27.4,32,21669.75,21675.5,2025-02-04 19:31:45,2025-02-04 19:32:18
4,MNQ,Short,73.84,10.0,Win,30-120 sec,2+ hour,9.2,26.4,42,21653.25,21663.25,2025-02-04 19:49:19,2025-02-04 19:48:37
