qty,symbol,Side,PnL,Point,Result,Duration Category,ATR 1M,ATR 5M,Session,duration,buyPrice,sellPrice,boughtTimestamp,soldTimestamp
2,MNQ,Long,10.0,2.5,Win,0-30 sec,,,0-30 min,7,21529.5,21532.0,2025-01-17 17:48:38,2025-01-17 17:48:45
2,MNQ,Long,13.0,3.25,Win,30-120 sec,,,0-30 min,58,21519.0,21522.25,2025-01-17 17:54:16,2025-01-17 17:55:14
2,MNQ,Short,12.0,3.0,Win,30-120 sec,,,0-30 min,95,21539.5,21542.5,2025-01-17 17:57:48,2025-01-17 17:56:12
2,MNQ,Short,80.0,40.0,Win,0-30 sec,,,30-60 min,25,21528.25,21548.25,2025-01-17 18:02:58,2025-01-17 18:02:44
2,MNQ,Long,80.0,20.0,Win,30-120 sec,,,30-60 min,31,21559.75,21579.75,2025-01-17 18:05:29,2025-01-17 18:06:00
2,MNQ,Short,-56.0,-14.0,Loss,30-120 sec,,,30-60 min,50,21520.5,21506.5,2025-01-17 18:23:52,2025-01-17 18:23:01
2,MNQ,Short,69.0,34.5,Win,2-5 min,,,30-60 min,204,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
2,MNQ,Long,35.0,8.75,Win,0-30 sec,,,30-60 min,19,21494.75,21503.5,2025-01-17 18:28:06,2025-01-17 18:28:25
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,,,30-60 min,6,21527.25,21513.25,2025-01-17 18:29:05,2025-01-17 18:28:58
2,MNQ,Long,29.0,7.25,Win,30-120 sec,,,30-60 min,59,21527.75,21535.0,2025-01-17 18:29:12,2025-01-17 18:30:11
2,MNQ,Long,32.0,8.0,Win,0-30 sec,,,1-2 hour,22,21523.25,21531.25,2025-01-17 18:30:56,2025-01-17 18:31:19
2,MNQ,Short,32.0,8.0,Win,0-30 sec,,,1-2 hour,15,21566.25,21574.25,2025-01-17 18:41:23,2025-01-17 18:41:07
