Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,,,7,21582.25,21576.25,2025-01-21 18:11:46,2025-01-21 18:11:53
1,NQ,Short,120.0,6.0,Win,0-30 sec,30-60 min,,,3,21559.75,21565.75,2025-01-21 18:12:02,2025-01-21 18:11:59
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,,,5,21590.0,21596.0,2025-01-21 18:18:07,2025-01-21 18:18:12
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,16,21626.25,21632.25,2025-01-21 18:31:54,2025-01-21 18:32:10
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,7,21598.75,21604.75,2025-01-21 18:47:09,2025-01-21 18:47:17
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,7,21610.0,21616.0,2025-01-21 18:47:36,2025-01-21 18:47:43
2,MNQ,Short,69.0,17.25,Win,30-120 sec,30-60 min,,,102,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
2,MNQ,Long,35.0,8.75,Win,0-30 sec,30-60 min,,,19,21494.75,21503.5,2025-01-17 18:28:06,2025-01-17 18:28:25
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,30-60 min,,,6,21527.25,21513.25,2025-01-17 18:29:05,2025-01-17 18:28:58
2,MNQ,Long,29.0,7.25,Win,30-120 sec,30-60 min,,,59,21527.75,21535.0,2025-01-17 18:29:12,2025-01-17 18:30:11
2,MNQ,Long,32.0,8.0,Win,0-30 sec,1-2 hour,,,22,21523.25,21531.25,2025-01-17 18:30:56,2025-01-17 18:31:19
2,MNQ,Short,32.0,8.0,Win,0-30 sec,1-2 hour,,,15,21566.25,21574.25,2025-01-17 18:41:23,2025-01-17 18:41:07
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,0-30 min,,,17,21647.25,21633.25,2025-01-21 17:47:30,2025-01-21 17:47:13
2,MNQ,Long,30.0,7.5,Win,30-120 sec,30-60 min,,,58,21587.25,21594.75,2025-01-21 18:02:36,2025-01-21 18:03:35
2,MNQ,Long,36.0,9.0,Win,0-30 sec,30-60 min,,,13,21605.75,21614.75,2025-01-21 18:05:57,2025-01-21 18:06:11
2,MNQ,Short,0.0,0.0,Breakeven,30-120 sec,30-60 min,,,38,21564.25,21564.25,2025-01-21 18:16:58,2025-01-21 18:16:20
2,MNQ,Short,-1.0,-0.25,Loss,30-120 sec,1-2 hour,,,49,21637.0,21636.75,2025-01-21 18:30:50,2025-01-21 18:30:01
1,MNQ,Long,23.0,11.5,Win,5+ min,1-2 hour,,,442,21622.75,21634.25,2025-01-21 18:41:05,2025-01-21 18:48:27
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,,,7,21582.25,21576.25,2025-01-21 18:11:46,2025-01-21 18:11:53
1,NQ,Short,120.0,6.0,Win,0-30 sec,30-60 min,,,3,21559.75,21565.75,2025-01-21 18:12:02,2025-01-21 18:11:59
2,MNQ,Short,0.0,0.0,Breakeven,30-120 sec,30-60 min,,,38,21564.25,21564.25,2025-01-21 18:16:58,2025-01-21 18:16:20
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,,,5,21590.0,21596.0,2025-01-21 18:18:07,2025-01-21 18:18:12
2,MNQ,Short,-1.0,-0.25,Loss,30-120 sec,1-2 hour,,,49,21637.0,21636.75,2025-01-21 18:30:50,2025-01-21 18:30:01
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,16,21626.25,21632.25,2025-01-21 18:31:54,2025-01-21 18:32:10
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,7,21598.75,21604.75,2025-01-21 18:47:09,2025-01-21 18:47:17
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,,,7,21610.0,21616.0,2025-01-21 18:47:36,2025-01-21 18:47:43
1,MNQ,Long,23.0,11.5,Win,5+ min,1-2 hour,,,442,21622.75,21634.25,2025-01-21 18:41:05,2025-01-21 18:48:27
