symbol,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,Side,Result,PnL,Trade Entry Time,Duration Category,Session,Point,Open_x,High_x,Low_x,Close_x,Volume_x,Dividends_x,Stock Splits_x,ATR 1M,Open_y,High_y,Low_y,Close_y,Volume_y,Dividends_y,Stock Splits_y,ATR 5M
MNQ,167247890012,167247890031,2,21529.5,21532.0,$10.00,2025-01-17 17:48:38,2025-01-17 17:48:45,7,Long,Win,10.0,2025-01-17 17:48:38,0-30 sec,0-30 min,2.5,21536.25,21540.5,21521.75,21531.25,1376,0.0,0.0,28.232142857144936,21516.0,21555.5,21514.0,21538.5,10392,0.0,0.0,45.8928571428587
MNQ,167247890067,167247890089,2,21519.0,21522.25,$13.00,2025-01-17 17:54:16,2025-01-17 17:55:14,58,Long,Win,13.0,2025-01-17 17:54:16,30-120 sec,0-30 min,3.25,21533.0,21537.75,21509.75,21523.75,2133,0.0,0.0,27.125,21537.5,21566.5,21509.75,21523.75,10654,0.0,0.0,47.642857142855064
MNQ,167247890135,167247890108,2,21539.5,21542.5,$12.00,2025-01-17 17:57:48,2025-01-17 17:56:12,95,Short,Win,12.0,2025-01-17 17:56:12,30-120 sec,0-30 min,3.0,21533.25,21547.25,21533.25,21539.75,1286,0.0,0.0,25.214285714282596,21523.0,21549.75,21487.0,21506.75,9807,0.0,0.0,50.910714285713766
MNQ,167247890183,167247890151,1,21528.25,21548.25,$40.00,2025-01-17 18:02:58,2025-01-17 18:02:44,13,Short,Win,40.0,2025-01-17 18:02:44,0-30 sec,30-60 min,20.0,21542.0,21553.75,21526.0,21527.25,2349,0.0,0.0,26.214285714286234,21505.5,21553.75,21505.0,21543.75,10948,0.0,0.0,52.94642857143117
MNQ,167247890183,167247890169,1,21528.25,21548.25,$40.00,2025-01-17 18:02:58,2025-01-17 18:02:45,12,Short,Win,40.0,2025-01-17 18:02:45,0-30 sec,30-60 min,20.0,21542.0,21553.75,21526.0,21527.25,2349,0.0,0.0,26.214285714286234,21505.5,21553.75,21505.0,21543.75,10948,0.0,0.0,52.94642857143117
MNQ,167247890241,167247890259,2,21559.75,21579.75,$80.00,2025-01-17 18:05:29,2025-01-17 18:06:00,31,Long,Win,80.0,2025-01-17 18:05:29,30-120 sec,30-60 min,20.0,21544.5,21564.75,21540.5,21564.25,2075,0.0,0.0,26.910714285717404,21544.5,21581.75,21536.5,21540.25,10216,0.0,0.0,53.07142857142753
MNQ,167247890297,167247890279,2,21520.5,21506.5,$(56.00),2025-01-17 18:23:52,2025-01-17 18:23:01,50,Short,Loss,-56.0,2025-01-17 18:23:01,30-120 sec,30-60 min,-14.0,21500.5,21523.5,21498.5,21521.0,1820,0.0,0.0,23.482142857141298,21560.5,21566.75,21488.75,21520.75,10494,0.0,0.0,56.4821428571413
MNQ,167247890369,167247890316,1,21503.5,21520.75,$34.50,2025-01-17 18:26:11,2025-01-17 18:24:28,102,Short,Win,34.5,2025-01-17 18:24:28,30-120 sec,30-60 min,17.25,21521.5,21525.5,21515.5,21520.75,1150,0.0,0.0,22.267857142855064,21560.5,21566.75,21488.75,21520.75,10494,0.0,0.0,56.4821428571413
MNQ,167247890369,167247890334,1,21503.5,21520.75,$34.50,2025-01-17 18:26:11,2025-01-17 18:24:28,102,Short,Win,34.5,2025-01-17 18:24:28,30-120 sec,30-60 min,17.25,21521.5,21525.5,21515.5,21520.75,1150,0.0,0.0,22.267857142855064,21560.5,21566.75,21488.75,21520.75,10494,0.0,0.0,56.4821428571413
MNQ,167247890387,167247890409,2,21494.75,21503.5,$35.00,2025-01-17 18:28:06,2025-01-17 18:28:25,19,Long,Win,35.0,2025-01-17 18:28:06,0-30 sec,30-60 min,8.75,21488.0,21518.0,21487.25,21514.25,2816,0.0,0.0,22.5,21521.25,21532.25,21481.25,21528.5,10579,0.0,0.0,58.089285714282596
MNQ,167247890446,167247890428,2,21527.25,21513.25,$(56.00),2025-01-17 18:29:05,2025-01-17 18:28:58,6,Short,Loss,-56.0,2025-01-17 18:28:58,0-30 sec,30-60 min,-14.0,21488.0,21518.0,21487.25,21514.25,2816,0.0,0.0,22.5,21521.25,21532.25,21481.25,21528.5,10579,0.0,0.0,58.089285714282596
MNQ,167247890465,167247890496,2,21527.75,21535.0,$29.00,2025-01-17 18:29:12,2025-01-17 18:30:11,59,Long,Win,29.0,2025-01-17 18:29:12,30-120 sec,30-60 min,7.25,21513.75,21532.25,21513.0,21528.5,2050,0.0,0.0,23.035714285717404,21521.25,21532.25,21481.25,21528.5,10579,0.0,0.0,58.089285714282596
MNQ,167247890512,167247890547,2,21523.25,21531.25,$32.00,2025-01-17 18:30:56,2025-01-17 18:31:19,22,Long,Win,32.0,2025-01-17 18:30:56,0-30 sec,1-2 hour,8.0,21528.0,21543.75,21520.25,21521.75,1975,0.0,0.0,23.535714285717404,21528.0,21553.75,21516.0,21549.25,8190,0.0,0.0,58.017857142855064
MNQ,167247890595,167247890559,2,21566.25,21574.25,$32.00,2025-01-17 18:41:23,2025-01-17 18:41:07,15,Short,Win,32.0,2025-01-17 18:41:07,0-30 sec,1-2 hour,8.0,21574.0,21576.5,21556.75,21558.75,1226,0.0,0.0,16.964285714286234,21565.5,21576.5,21547.0,21553.5,5646,0.0,0.0,48.339285714286234
