qty,symbol,Side,PnL,Point,Result,Duration Category,Session,ATR 1M,ATR 5M,duration,buyPrice,sellPrice,boughtTimestamp,soldTimestamp
2,MNQ,Long,10.0,2.5,Win,0-30 sec,0-30 min,28.232142857144936,45.8928571428587,7,21529.5,21532.0,2025-01-17 17:48:38,2025-01-17 17:48:45
2,MNQ,Long,13.0,3.25,Win,30-120 sec,0-30 min,27.125,47.642857142855064,58,21519.0,21522.25,2025-01-17 17:54:16,2025-01-17 17:55:14
2,MNQ,Short,12.0,3.0,Win,30-120 sec,0-30 min,25.214285714282596,50.910714285713766,95,21539.5,21542.5,2025-01-17 17:57:48,2025-01-17 17:56:12
1,MNQ,Short,40.0,20.0,Win,0-30 sec,30-60 min,26.214285714286234,52.94642857143117,13,21528.25,21548.25,2025-01-17 18:02:58,2025-01-17 18:02:44
1,MNQ,Short,40.0,20.0,Win,0-30 sec,30-60 min,26.214285714286234,52.94642857143117,12,21528.25,21548.25,2025-01-17 18:02:58,2025-01-17 18:02:45
2,MNQ,Long,80.0,20.0,Win,30-120 sec,30-60 min,26.910714285717404,53.07142857142753,31,21559.75,21579.75,2025-01-17 18:05:29,2025-01-17 18:06:00
2,MNQ,Short,-56.0,-14.0,Loss,30-120 sec,30-60 min,23.482142857141298,56.4821428571413,50,21520.5,21506.5,2025-01-17 18:23:52,2025-01-17 18:23:01
1,MNQ,Short,34.5,17.25,Win,30-120 sec,30-60 min,22.267857142855064,56.4821428571413,102,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
1,MNQ,Short,34.5,17.25,Win,30-120 sec,30-60 min,22.267857142855064,56.4821428571413,102,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
2,MNQ,Long,35.0,8.75,Win,0-30 sec,30-60 min,22.5,58.089285714282596,19,21494.75,21503.5,2025-01-17 18:28:06,2025-01-17 18:28:25
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,30-60 min,22.5,58.089285714282596,6,21527.25,21513.25,2025-01-17 18:29:05,2025-01-17 18:28:58
2,MNQ,Long,29.0,7.25,Win,30-120 sec,30-60 min,23.035714285717404,58.089285714282596,59,21527.75,21535.0,2025-01-17 18:29:12,2025-01-17 18:30:11
2,MNQ,Long,32.0,8.0,Win,0-30 sec,1-2 hour,23.535714285717404,58.017857142855064,22,21523.25,21531.25,2025-01-17 18:30:56,2025-01-17 18:31:19
2,MNQ,Short,32.0,8.0,Win,0-30 sec,1-2 hour,16.964285714286234,48.339285714286234,15,21566.25,21574.25,2025-01-17 18:41:23,2025-01-17 18:41:07
