symbol,qty,buyPrice,sellPrice,PnL,Result,boughtTimestamp,soldTimestamp,duration
MNQ,2,21529.5,21532.0,10.0,Win,2025-01-17 17:48:38,2025-01-17 17:48:45,7sec
MNQ,2,21519.0,21522.25,13.0,Win,2025-01-17 17:54:16,2025-01-17 17:55:14,58sec
MNQ,2,21539.5,21542.5,12.0,Win,2025-01-17 17:57:48,2025-01-17 17:56:12,1min 35sec
MNQ,1,21528.25,21548.25,40.0,Win,2025-01-17 18:02:58,2025-01-17 18:02:44,13sec
MNQ,1,21528.25,21548.25,40.0,Win,2025-01-17 18:02:58,2025-01-17 18:02:45,12sec
MNQ,2,21559.75,21579.75,80.0,Win,2025-01-17 18:05:29,2025-01-17 18:06:00,31sec
MNQ,2,21520.5,21506.5,-56.0,Loss,2025-01-17 18:23:52,2025-01-17 18:23:01,50sec
MNQ,1,21503.5,21520.75,34.5,Win,2025-01-17 18:26:11,2025-01-17 18:24:28,1min 42sec
MNQ,1,21503.5,21520.75,34.5,Win,2025-01-17 18:26:11,2025-01-17 18:24:28,1min 42sec
MNQ,2,21494.75,21503.5,35.0,Win,2025-01-17 18:28:06,2025-01-17 18:28:25,19sec
MNQ,2,21527.25,21513.25,-56.0,Loss,2025-01-17 18:29:05,2025-01-17 18:28:58,6sec
MNQ,2,21527.75,21535.0,29.0,Win,2025-01-17 18:29:12,2025-01-17 18:30:11,59sec
MNQ,2,21523.25,21531.25,32.0,Win,2025-01-17 18:30:56,2025-01-17 18:31:19,22sec
MNQ,2,21566.25,21574.25,32.0,Win,2025-01-17 18:41:23,2025-01-17 18:41:07,15sec
