Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
1,NQ,Long,-124.68,-6.0,Loss,30-120 sec,0-30 min,18.2,17.3,31.0,22035.0,22029.0,2025-01-24 17:43:17,2025-01-24 17:43:49
1,NQ,Long,115.32,6.0,Win,0-30 sec,0-30 min,18.2,17.3,14.0,22021.75,22027.75,2025-01-24 17:43:56,2025-01-24 17:44:10
1,NQ,Long,-124.68,-6.0,Loss,0-30 sec,0-30 min,17.1,20.7,23.0,22067.75,22061.75,2025-01-24 17:53:39,2025-01-24 17:54:02
1,NQ,Short,115.32,6.0,Win,0-30 sec,0-30 min,17.4,22.1,9.0,22059.75,22065.75,2025-01-24 17:55:18,2025-01-24 17:55:09
1,NQ,Long,-124.68,-6.0,Loss,0-30 sec,30-60 min,14.9,25.4,9.0,22028.25,22022.25,2025-01-24 18:04:10,2025-01-24 18:04:19
1,NQ,Long,-4.68,0.0,Breakeven,0-30 sec,30-60 min,14.9,25.4,20.0,22020.25,22020.25,2025-01-24 18:04:22,2025-01-24 18:04:42
1,NQ,Long,115.32,6.0,Win,0-30 sec,30-60 min,14.9,25.4,4.0,22021.25,22027.25,2025-01-24 18:04:51,2025-01-24 18:04:56
1,NQ,Short,115.32,6.0,Win,0-30 sec,30-60 min,15.3,26.5,27.0,22025.75,22031.75,2025-01-24 18:08:32,2025-01-24 18:08:04
1,NQ,Short,95.32,5.0,Win,0-30 sec,30-60 min,15.7,27.1,6.0,22008.0,22013.0,2025-01-24 18:15:23,2025-01-24 18:15:17
1,NQ,Long,-129.68,-6.25,Loss,0-30 sec,30-60 min,15.7,27.1,23.0,22004.5,21998.25,2025-01-24 18:15:50,2025-01-24 18:16:14
1,NQ,Long,95.32,5.0,Win,30-120 sec,30-60 min,14.8,27.1,44.0,22004.5,22009.5,2025-01-24 18:16:20,2025-01-24 18:17:04
1,NQ,Long,-4.68,0.0,Breakeven,0-30 sec,30-60 min,14.4,27.1,13.0,22003.75,22003.75,2025-01-24 18:17:55,2025-01-24 18:18:09
1,NQ,Short,115.32,6.0,Win,0-30 sec,30-60 min,14.4,28.0,8.0,21989.75,21995.75,2025-01-24 18:21:06,2025-01-24 18:20:58
